MidPeriod,LocID,Time,TotalBirths_Thousands,Location,AdminCode
2023,4,2020-2025,7230,Afghanistan,AFG
2023,8,2020-2025,165,Albania,ALB
2023,12,2020-2025,5103,Algeria,DZA
2023,24,2020-2025,7381,Angola,AGO
2023,28,2020-2025,7,Antigua and Barbuda,ATG
2023,32,2020-2025,3853,Argentina,ARG
2023,51,2020-2025,183,Armenia,ARM
2023,533,2020-2025,7,Aruba,ABW
2023,36,2020-2025,1625,Australia,AUS
2023,40,2020-2025,438,Austria,AUT
2023,31,2020-2025,752,Azerbaijan,AZE
2023,48,2020-2025,118,Bahrain,BHR
2023,50,2020-2025,15000,Bangladesh,BGD
2023,52,2020-2025,15,Barbados,BRB
2023,112,2020-2025,505,Belarus,BLR
2023,56,2020-2025,613,Belgium,BEL
2023,84,2020-2025,43,Belize,BLZ
2023,204,2020-2025,2399,Benin,BEN
2023,64,2020-2025,67,Bhutan,BTN
2023,68,2020-2025,1327,Bolivia,BOL
2023,70,2020-2025,126,Bosnia and Herzegovina,BIH
2023,72,2020-2025,295,Botswana,BWA
2023,76,2020-2025,14409,Brazil,BRA
2023,100,2020-2025,285,Bulgaria,BGR
2023,854,2020-2025,4353,Burkina Faso,BFA
2023,108,2020-2025,2513,Burundi,BDI
2023,132,2020-2025,53,Cabo Verde,CPV
2023,116,2020-2025,1855,Cambodia,KHM
2023,120,2020-2025,5050,Cameroon,CMR
2023,124,2020-2025,1994,Canada,CAN
2023,140,2020-2025,951,Central African Republic,CAF
2023,148,2020-2025,3845,Chad,TCD
2023,152,2020-2025,1154,Chile,CHL
2023,156,2020-2025,76425,China,CHN
2023,170,2020-2025,3733,Colombia,COL
2023,174,2020-2025,148,Comoros,COM
2023,188,2020-2025,346,Costa Rica,CRI
2023,191,2020-2025,173,Croatia,HRV
2023,192,2020-2025,546,Cuba,CUB
2023,531,2020-2025,9,Curaçao,CUW
2023,196,2020-2025,60,Cyprus,CYP
2023,203,2020-2025,508,Czechia,CZE
2023,180,2020-2025,20516,Democratic Republic of the Congo,COD
2023,208,2020-2025,324,Denmark,DNK
2023,262,2020-2025,109,Djibouti,DJI
2023,214,2020-2025,1054,Dominican Republic,DOM
2023,218,2020-2025,1765,Ecuador,ECU
2023,818,2020-2025,13450,Egypt,EGY
2023,222,2020-2025,590,El Salvador,SLV
2023,226,2020-2025,261,Equatorial Guinea,GNQ
2023,232,2020-2025,567,Eritrea,ERI
2023,233,2020-2025,63,Estonia,EST
2023,748,2020-2025,155,Eswatini,SWZ
2023,231,2020-2025,20803,Ethiopia,ETH
2023,583,2020-2025,14,Federated States of Micronesia,FSM
2023,242,2020-2025,94,Fiji,FJI
2023,246,2020-2025,257,Finland,FIN
2023,250,2020-2025,3591,France,FRA
2023,258,2020-2025,20,French Polynesia,PYF
2023,266,2020-2025,359,Gabon,GAB
2023,270,2020-2025,504,Gambia,GMB
2023,268,2020-2025,247,Georgia,GEO
2023,276,2020-2025,3856,Germany,DEU
2023,288,2020-2025,4836,Ghana,GHA
2023,300,2020-2025,368,Greece,GRC
2023,308,2020-2025,9,Grenada,GRD
2023,316,2020-2025,14,Guam,GUM
2023,320,2020-2025,2331,Guatemala,GTM
2023,324,2020-2025,2630,Guinea,GIN
2023,624,2020-2025,369,Guinea-Bissau,GNB
2023,254,2020-2025,78,Guyana,GUY
2023,332,2020-2025,1435,Haiti,HTI
2023,340,2020-2025,1121,Honduras,HND
2023,348,2020-2025,431,Hungary,HUN
2023,352,2020-2025,21,Iceland,ISL
2023,356,2020-2025,125301,India,IND
2023,360,2020-2025,24614,Indonesia,IDN
2023,364,2020-2025,7257,Iran,IRN
2023,368,2020-2025,6266,Iraq,IRQ
2023,372,2020-2025,293,Ireland,IRL
2023,376,2020-2025,885,Israel,ISR
2023,380,2020-2025,2173,Italy,ITA
2023,384,2020-2025,5136,Ivory Coast,CIV
2023,388,2020-2025,235,Jamaica,JAM
2023,392,2020-2025,4398,Japan,JPN
2023,400,2020-2025,1143,Jordan,JOR
2023,398,2020-2025,1812,Kazakhstan,KAZ
2023,404,2020-2025,8397,Kenya,KEN
2023,296,2020-2025,17,Kiribati,KIR
2023,414,2020-2025,258,Kuwait,KWT
2023,417,2020-2025,775,Kyrgyzstan,KGZ
2023,418,2020-2025,879,Laos,LAO
2023,428,2020-2025,89,Latvia,LVA
2023,422,2020-2025,564,Lebanon,LBN
2023,426,2020-2025,289,Lesotho,LSO
2023,430,2020-2025,915,Liberia,LBR
2023,434,2020-2025,629,Libya,LBY
2023,440,2020-2025,128,Lithuania,LTU
2023,442,2020-2025,34,Luxembourg,LUX
2023,807,2020-2025,107,Macedonia,MKD
2023,450,2020-2025,4953,Madagascar,MDG
2023,454,2020-2025,3655,Malawi,MWI
2023,458,2020-2025,2766,Malaysia,MYS
2023,462,2020-2025,34,Maldives,MDV
2023,466,2020-2025,4666,Mali,MLI
2023,470,2020-2025,21,Malta,MLT
2023,478,2020-2025,840,Mauritania,MRT
2023,480,2020-2025,65,Mauritius,MUS
2023,484,2020-2025,11388,Mexico,MEX
2023,498,2020-2025,179,Moldova,MDA
2023,496,2020-2025,371,Mongolia,MNG
2023,499,2020-2025,36,Montenegro,MNE
2023,504,2020-2025,3448,Morocco,MAR
2023,508,2020-2025,6481,Mozambique,MOZ
2023,104,2020-2025,4875,Myanmar,MMR
2023,516,2020-2025,378,Namibia,NAM
2023,524,2020-2025,3007,Nepal,NPL
2023,528,2020-2025,867,Netherlands,NLD
2023,540,2020-2025,20,New Caledonia,NCL
2023,554,2020-2025,308,New Zealand,NZL
2023,558,2020-2025,678,Nicaragua,NIC
2023,562,2020-2025,6289,Niger,NER
2023,566,2020-2025,42181,Nigeria,NGA
2023,408,2020-2025,1805,North Korea,PRK
2023,578,2020-2025,305,Norway,NOR
2023,512,2020-2025,477,Oman,OMN
2023,586,2020-2025,33049,Pakistan,PAK
2023,275,2020-2025,803,Palestine,PSX
2023,591,2020-2025,417,Panama,PAN
2023,598,2020-2025,1290,Papua New Guinea,PNG
2023,600,2020-2025,748,Paraguay,PRY
2023,604,2020-2025,3001,Peru,PER
2023,608,2020-2025,11649,Philippines,PHL
2023,616,2020-2025,1670,Poland,POL
2023,620,2020-2025,370,Portugal,PRT
2023,630,2020-2025,98,Puerto Rico,PRI
2023,634,2020-2025,140,Qatar,QAT
2023,688,2020-2025,401,Republic of Serbia,SRB
2023,178,2020-2025,972,Republic of the Congo,COG
2023,642,2020-2025,868,Romania,ROU
2023,643,2020-2025,8223,Russia,RUS
2023,646,2020-2025,2204,Rwanda,RWA
2023,662,2020-2025,11,Saint Lucia,LCA
2023,670,2020-2025,8,Saint Vincent and the Grenadines,VCT
2023,882,2020-2025,25,Samoa,WSM
2023,678,2020-2025,37,Sao Tome and Principe,STP
2023,682,2020-2025,3043,Saudi Arabia,SAU
2023,686,2020-2025,3089,Senegal,SEN
2023,690,2020-2025,8,Seychelles,SYC
2023,694,2020-2025,1458,Sierra Leone,SLE
2023,702,2020-2025,242,Singapore,SGP
2023,703,2020-2025,259,Slovakia,SVK
2023,705,2020-2025,91,Slovenia,SVN
2023,90,2020-2025,118,Solomon Islands,SLB
2023,706,2020-2025,3784,Somalia,SOM
2023,710,2020-2025,6056,South Africa,ZAF
2023,410,2020-2025,1793,South Korea,KOR
2023,728,2020-2025,2142,South Sudan,SDS
2023,724,2020-2025,1761,Spain,ESP
2023,144,2020-2025,1631,Sri Lanka,LKA
2023,729,2020-2025,7637,Sudan,SDN
2023,740,2020-2025,55,Suriname,SUR
2023,752,2020-2025,603,Sweden,SWE
2023,756,2020-2025,437,Switzerland,CHE
2023,760,2020-2025,2317,Syria,SYR
2023,158,2020-2025,932,Taiwan,TWN
2023,762,2020-2025,1437,Tajikistan,TJK
2023,764,2020-2025,3508,Thailand,THA
2023,44,2020-2025,28,The Bahamas,BHS
2023,768,2020-2025,1484,Togo,TGO
2023,776,2020-2025,13,Tonga,TON
2023,780,2020-2025,83,Trinidad and Tobago,TTO
2023,788,2020-2025,975,Tunisia,TUN
2023,792,2020-2025,6644,Turkey,TUR
2023,795,2020-2025,687,Turkmenistan,TKM
2023,800,2020-2025,9717,Uganda,UGA
2023,804,2020-2025,1865,Ukraine,UKR
2023,784,2020-2025,526,United Arab Emirates,ARE
2023,826,2020-2025,3854,United Kingdom,GBR
2023,834,2020-2025,12015,United Republic of Tanzania,TZA
2023,840,2020-2025,20094,United States of America,USA
2023,850,2020-2025,6,United States Virgin Islands,VIR
2023,858,2020-2025,239,Uruguay,URY
2023,860,2020-2025,3376,Uzbekistan,UZB
2023,548,2020-2025,48,Vanuatu,VUT
2023,862,2020-2025,2633,Venezuela,VEN
2023,704,2020-2025,7648,Vietnam,VNM
2023,732,2020-2025,63,Western Sahara,SAH
2023,887,2020-2025,4924,Yemen,YEM
2023,894,2020-2025,3668,Zambia,ZMB
2023,716,2020-2025,2337,Zimbabwe,ZWE
